,Tweet Date,text,Twitter Handle
62,"10,14,2021 22:43","Check out my  @netflix  Sex Education Season 3 Review on @fanbolt! @emmaloggins @jemimakirke @asabfb
 @doitlikedua @GillianA @emmamackeyoff
 https://t.co/wtmjNeUSbf https://t.co/cERrmEQeDl",buffyfan1992
63,"10,14,2021 22:42",Season 3 of Sex Education is so 🥺,dsassmaster
64,"10,14,2021 22:41",Aimee in Sex Education season 3 https://t.co/6X9moPkgzU,zxratv
65,"10,14,2021 21:28",Season 3 of Sex Education is a whole new dynamic and I’m enjoying it 😂,Ewonubari_
66,"10,14,2021 21:26","@emrazz A good example (not perfect, but good)
Sex education, season 3, episode 4

https://t.co/9Wp3cm9SSl",Jmccarthy2912_2
67,"10,14,2021 21:24","@scottj77 @emrazz I wonder if you've come across the show 'sex education'.... I think parts could definitely be a useful educational tool for teenagers...

Season 3, episode 4....
https://t.co/9Wp3cm9SSl",Jmccarthy2912_2
68,"10,14,2021 21:05",Yo they was WILDIN on the opening scene of Sex Education season 3 😭,Virdez
69,"10,14,2021 21:03","Bisi Alimi Foundation founder @bisialimi talked to @NPRGoatsandSoda about season 3 of Sex Education and the character Eric's trip to Nigeria. 
https://t.co/1idcK7e4CJ",glaad
70,"10,14,2021 20:50",sex education season 3 episode 5 i'm crying,croakcroakcordy
71,"10,14,2021 20:43",Dnt urll think Sex education season 3 was boring,Skywalker_cin
72,"10,14,2021 20:22",Sex Education season 2 &amp; 3 &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Ted Lasso season 1 &amp; 2,PedroAGuerr
73,"10,14,2021 19:59",I loved Sex Education season 3 but the bad part is that my mum now knows what a binder is so I can't secretly buy one and tell her it's a sports bra,GayWithBroadway
74,"10,14,2021 19:17",Sex education Season 3 or Squid Game season 1? 🤔,thaboiimike
75,"10,14,2021 19:13",Hi ouch… we are all in a massive fight because no one warned me how emotional sex education season 3 was going to make me.,Natuhlee11
76,"10,14,2021 19:12",This exchange from the final episode of season 3 of Sex Education sums up a lot of what the show is about but it also reflects what's happening in wider society. And it is *unequivocally* a good thing no matter how much social conservatives and bigots might protest. https://t.co/C6FP8lmBTX,MrMcEnaney
77,"10,14,2021 18:58",time to watch sex education season 3,prettyIiIdemons
78,"10,14,2021 18:44",gon start sex education season 3 tmr if you’ve seen it how much do you rate it?,sw4gisforever
79,"10,14,2021 18:42",What is this season 3 start of sex education 😂 😂 😂 😂 😂 😂,Gichy_
80,"10,14,2021 18:38","This season of sex education is littttt, 3 episodes in. 😂",WanyeezyMD
81,"10,14,2021 18:30","Check out our review for the recent season of #SexEducation.

https://t.co/2VrapqaSM0",TheAffinityMag
82,"10,14,2021 17:49",i can't forgive the sex education writers for making Eric do that shit in season 3 why would you make my favourite boy cheat on someone and not care :|,hang3supr3macy
83,"10,14,2021 17:38",Might be an unpopular opinion but I think season 3 of sex education is thes best 🤷🏽‍♂️ 😭😭,Jadendaillest
84,"10,14,2021 17:24",Sex Education Season 3 really goes crazy. I’m only on episode 2 and I’m fully remembering why I fell in love with this show in the first place. I love everything about it. Okay? Okayyyyyyy 🤌🏾,mindingmiaaaaa
85,"10,14,2021 17:23",finally watching season 3 of sex education,SC0RPIONYMPH
86,"10,14,2021 16:54","More behind the scenes shots from Sex Education Season 3, because we love this cast so much. https://t.co/oogsg08O9C",NetflxUpdates
87,"10,14,2021 16:46","Season 3, sex education 

Q:How to show them we're grown? 
A: facial hair 

Wtf!!! Why",whnthygolow
88,"10,14,2021 16:38",On to season 3 of sex education... this show is such a great binge... it never gets annoying,whnthygolow
89,"10,14,2021 15:39",So season 3 of Sex Education was just book 5 of Harry Potter,Andrew_J_Ross_
90,"10,14,2021 15:33",on season 3 of sex education… this is crazy,garfieIdfanpage
91,"10,14,2021 15:29",Season 3 of Sex Education is so fire,lwandom_
92,"10,14,2021 14:15",sex education season 3 !! https://t.co/CGIEutwBtC,icyspicypriceyy
93,"10,14,2021 14:03","The Netflix series entitled “SEX EDUCATION” is not all about having sex. You can learn things and lessons about sex and life also. 

P.S . ( i’m on season 3 na- ikaw? ?)",aaarky3
94,"10,14,2021 13:32","last night we finished season 2 of sex education (no spoilers for season 3 pls) but the ending made me SO ANGRY, would have been fuming if I watched it at the time and then had to wait a year for the next season 😂",sophdoeslife
95,"10,14,2021 13:21",@puduusunny Sex education season 3,wibowoSC_
96,"10,14,2021 12:51",Accidentally finished sex education idk what my thoughts are on season 3,planetfaiyaz
97,"10,14,2021 12:45","Take a look behind season 3 of #SexEducation. Serviced by #Panalux London. 

Cinematographer: Oli Russell 
Gaffer: Gary Chaisty

Photos: Sex Education series https://t.co/r05vlqGcak",PanaluxWorld
98,"10,14,2021 12:18",@rmmckenny Season 3 of Sex Education ends with a song from the Empire Records soundtrack and it sent me on a deep rabbit hole!,sarajshukla
99,"10,14,2021 11:23",Last episode of Sex Education season 3 is so heart warming 🥺,khaidiedericks
100,"10,14,2021 11:14",‘Sex Education’ Season 3: Why Is Otis Still Wearing That Jacket? https://t.co/xSp6bUxKJl,GranthshalaNews
101,"10,14,2021 11:02",just remember that I haven't finish sex education season 3,bushinidejiaren
102,"10,14,2021 10:38","@husainxriz @NetflixIndia Squid Game 1 season 9 episodes
13 Reasons Why 4 seasons 49 episodes
Sex Education 3 seasons 24 episodes
You 2 seasons 20 episodes",Pratham_Mane_04
103,"10,14,2021 10:18",not me crying over season 3 finale of sex education at 6am im fine it’s fine,lilsithbitch
104,"10,14,2021 10:05",only watching sex education season 3 bc i miss eric,sunlessland
105,"10,14,2021 9:41","-SPOILERS: SEX EDUCATION SEASON 3-

I have a BONE TO PICK because everyone is talking about how sad it is for RUBY and for ADAM. But no one is talking about STEVE!!",ShoutMyName_Now
106,"10,14,2021 8:39","I can’t believe that I was feeling lazy to watch Sex Education, now I finished all 3 seasons in 3 days! Man! I can’t wait for season 4",BadTeacherB
